dates,posts,sentence_tokenize
"18,May,2004","

	 
      this blog is not about spooge
     
    
",['\n\n\t \n      this blog is not about spooge']
"18,June,2004","

	 
      this is a test to show my mother what a weblog is and how easy they are to start, but she doesnt give a shit
     
    
","['\n\n\t \n      this is a test to show my mother what a weblog is and how easy they are to start, but she doesnt give a shit']"
"18,June,2004","

	 
      this is a test to show my mother what a weblog is and how easy they are to start, but she doesnt give a shit
     
    
","['\n\n\t \n      this is a test to show my mother what a weblog is and how easy they are to start, but she doesnt give a shit']"
"18,June,2004","

	 
      not too shabby.   i had already eaten dinner, plus earlier a couple of chips with guac, several deviled eggs and some olives. took meds at 5:45
     

    
","['\n\n\t \n      not too shabby.', 'i had already eaten dinner, plus earlier a couple of chips with guac, several deviled eggs and some olives.', 'took meds at 5:45']"
"18,June,2004","

	 
      well, i didnt really eat a breakfast - several slices of pepperoni and a large english cuke. however at tj's i had a small cup of coffee and cream and i just wolfed down a cup of cottage cheese. i dont know how soon the sugar soars after ingestion. time for a med.   i either mised my glipizid this morning or taking an extra one for lunch. 
     

    
","['\n\n\t \n      well, i didnt really eat a breakfast - several slices of pepperoni and a large english cuke.', ""however at tj's i had a small cup of coffee and cream and i just wolfed down a cup of cottage cheese."", 'i dont know how soon the sugar soars after ingestion.', 'time for a med.', 'i either mised my glipizid this morning or taking an extra one for lunch.']"
"18,June,2004","

	 
      okay okay okay. we know that even if i dont eat, if i dont take my meds my sugars are high, is this residual sugars floating aronud? i think the secret to low morning sugar might be the length of time from when i took the last meds, so i will need to talk to the doc about that. i took meds at 6:30 last night., and ate some steak (thats it. meat only, no carbs) at 9:30 or 10 pm.
     

    
","['\n\n\t \n      okay okay okay.', 'we know that even if i dont eat, if i dont take my meds my sugars are high, is this residual sugars floating aronud?', 'i think the secret to low morning sugar might be the length of time from when i took the last meds, so i will need to talk to the doc about that.', 'i took meds at 6:30 last night., and ate some steak (thats it.', 'meat only, no carbs) at 9:30 or 10 pm.']"
"18,June,2004","

	 
      so taking meds now to abate dinner, but i think the problem with morning blood may be the time between meds?  last night however, i took them rather late, because i ate rather late.  i will not eat dinner for a couple of hours, we'll see what happens in the am. but even if i get up at the crack of dawn, it will have been about 12 hours since meds. good luck to me.    ps, i ate another handful of raisens (30 carb) and 7 whole curried eggs (7 carb for eggs 3 for curry), which explains why im not hungry.   bleh.  anyway, still way less carbs than normal
     

    
","['\n\n\t \n      so taking meds now to abate dinner, but i think the problem with morning blood may be the time between meds?', 'last night however, i took them rather late, because i ate rather late.', ""i will not eat dinner for a couple of hours, we'll see what happens in the am."", 'but even if i get up at the crack of dawn, it will have been about 12 hours since meds.', 'good luck to me.', 'ps, i ate another handful of raisens (30 carb) and 7 whole curried eggs (7 carb for eggs 3 for curry), which explains why im not hungry.', 'bleh.', 'anyway, still way less carbs than normal']"
"18,June,2004","

	 
      not too shabby, i am feeling a little lightheaded and trying to gauge when my sugars are low or high.   i took one glucophage at 1pm but did not eat. about 90 min ago i had a about 10 raisens (naughty, probably 15 carbs just there) and a bowlful of broccoli and cheese. this eaten at least two hours after taking my meds. 
     

    
","['\n\n\t \n      not too shabby, i am feeling a little lightheaded and trying to gauge when my sugars are low or high.', 'i took one glucophage at 1pm but did not eat.', 'about 90 min ago i had a about 10 raisens (naughty, probably 15 carbs just there) and a bowlful of broccoli and cheese.', 'this eaten at least two hours after taking my meds.']"
"18,June,2004","

	 
      yeah buddie!  had 4 eggs and chorizo for breakfast, snack was en entire english cuke. sippin on splenda kool-aid right now. no ttoo hungry for lunch.   i have not been taking the metabo boosters, i think they were nauseating me
     

    
","['\n\n\t \n      yeah buddie!', 'had 4 eggs and chorizo for breakfast, snack was en entire english cuke.', 'sippin on splenda kool-aid right now.', 'no ttoo hungry for lunch.', 'i have not been taking the metabo boosters, i think they were nauseating me']"
"18,June,2004","

	 
      so... whats the secret?  last night i took my meds at ten and i had, only 4 eggs con chorizo - 4 carbs. nothing for 10 hours. why is my blood sugar so fucking high?  dammit  also, i feel heavy today. total carbs yesterday less than 60, so what gives. 
     

    
","['\n\n\t \n      so... whats the secret?', 'last night i took my meds at ten and i had, only 4 eggs con chorizo - 4 carbs.', 'nothing for 10 hours.', 'why is my blood sugar so fucking high?', 'dammit  also, i feel heavy today.', 'total carbs yesterday less than 60, so what gives.']"
"18,June,2004","

	 
      had an entire english cuke about 4:00 and half a nasty atkins shake just a bit ago. i havent had meds since 1pm and my blood is 114. yes!  time for meds and some flank steak. 
     

    
","['\n\n\t \n      had an entire english cuke about 4:00 and half a nasty atkins shake just a bit ago.', 'i havent had meds since 1pm and my blood is 114. yes!', 'time for meds and some flank steak.']"
"18,June,2004","

	 
      big bowl of kale soup - about 20 carbs  half cup cottage cheese - 5 carbs  one glucophage and one glipizid.   i'm still hungry!
     

    
","['\n\n\t \n      big bowl of kale soup - about 20 carbs  half cup cottage cheese - 5 carbs  one glucophage and one glipizid.', ""i'm still hungry!""]"
"18,June,2004","

	 
      not too good. lets see, i took the evening meds at about 5:30, but i ended up eating a big meal at about 9 or 10. i did not eat lunch, but i had an english cucumber with dressing - 6 carbs - when i took the meds, in an hour or two i was starving, so i ate about 3\4 cup of cottage cheese - 7 carbs, big hunk o' mozzarella - 4 carbs and a big bowl of kale soup - 17 carbs.   total carbs for the day less than 40, but most of them more than t hours after i took my last meds.   conclusion:   - meds are fast acting, i should eat right after i take them.   - i shouldn't eat after 9pm maybe even earlier.   however - i haven't eaten a thing in over 8 hours, so really, this is not good.   also, yesterday i woke feeling light and airy. today i feel heavy. 40 carbs is probably about 500 carbs less than i normally eat in a day and i took all three glucophage and both glipizid. i really do not want to start shootin up insulin, dammit. 
     

    
","['\n\n\t \n      not too good.', ""lets see, i took the evening meds at about 5:30, but i ended up eating a big meal at about 9 or 10. i did not eat lunch, but i had an english cucumber with dressing - 6 carbs - when i took the meds, in an hour or two i was starving, so i ate about 3\\4 cup of cottage cheese - 7 carbs, big hunk o' mozzarella - 4 carbs and a big bowl of kale soup - 17 carbs."", 'total carbs for the day less than 40, but most of them more than t hours after i took my last meds.', 'conclusion:   - meds are fast acting, i should eat right after i take them.', ""- i shouldn't eat after 9pm maybe even earlier."", ""however - i haven't eaten a thing in over 8 hours, so really, this is not good."", 'also, yesterday i woke feeling light and airy.', 'today i feel heavy.', '40 carbs is probably about 500 carbs less than i normally eat in a day and i took all three glucophage and both glipizid.', 'i really do not want to start shootin up insulin, dammit.']"
"18,June,2004","

	 
      blogging from my skytel pager kicks ass!! 
     

    
","['\n\n\t \n      blogging from my skytel pager kicks ass!', '!']"
"18,June,2004","

	 
      breakfast, two eggs and several pepperoni slices, a large bottle of tea java. about 3 carbs total. took glucophage and glipizid just before eating. 3 hours later blood sugar at 145. not too shabby, but it should have gone down more. 
     

    
","['\n\n\t \n      breakfast, two eggs and several pepperoni slices, a large bottle of tea java.', 'about 3 carbs total.', 'took glucophage and glipizid just before eating.', '3 hours later blood sugar at 145. not too shabby, but it should have gone down more.']"
"18,June,2004","

	 
      yes!!!!  135!!!!!  alrighty then. 
     

    
","['\n\n\t \n      yes!!!!', '135!!!!!', 'alrighty then.']"
"18,June,2004","

	 
      today  3 eggs, cheese, bacon, avacado, sour cream and tomato omlette - about 10 carbs  half a pria bar - 2 carbs  3 eggs, most of a lo-carb tort, 1\2 cup beans with cheese about 28 carbs  not bad but i felt nauseous all day
     

    
","['\n\n\t \n      today  3 eggs, cheese, bacon, avacado, sour cream and tomato omlette - about 10 carbs  half a pria bar - 2 carbs  3 eggs, most of a lo-carb tort, 1\\2 cup beans with cheese about 28 carbs  not bad but i felt nauseous all day']"
"18,June,2004","

	 
      five hours later, blood is 190. maybe i should create a blood blog and link it. will figure it all out later.   i want to track food, blood sugar, exercise and my thoughts.  i want to rah rah sis boom bah myself.   i want this scooter, its a 64' model just like me, and green flatters me so:     urllink scooter love   or this (freakin awesome):   urllink  more scooter love   and look at all these yummy ones!     urllink  scooter woodstock   i will treat myself when i reach goal
     

    
","['\n\n\t \n      five hours later, blood is 190. maybe i should create a blood blog and link it.', 'will figure it all out later.', 'i want to track food, blood sugar, exercise and my thoughts.', 'i want to rah rah sis boom bah myself.', ""i want this scooter, its a 64' model just like me, and green flatters me so:     urllink scooter love   or this (freakin awesome):   urllink  more scooter love   and look at all these yummy ones!"", 'urllink  scooter woodstock   i will treat myself when i reach goal']"
"18,June,2004","

	 
      dont feel well. dont know if its the metabo boosters or the glucophage, but i havent felt well all week, upset stomache. 
     

    
","['\n\n\t \n      dont feel well.', 'dont know if its the metabo boosters or the glucophage, but i havent felt well all week, upset stomache.']"
"18,June,2004","

	 
      three hours and one glucophage later my bloo is at 202. things are worse than i imagined. the good news is, im watching it. perhaps the glucophage needs to kickin over a period to have me be more responsive, i am going to start taking cinnamon at least 1 tsp a day, per a report i read that some people are usoing that and diet alone to regulate thier sugars. it is obvious that the correct diet (less than 60 carbs a day should be more than sufficient) is not enough for me to combat this. 
     

    
","['\n\n\t \n      three hours and one glucophage later my bloo is at 202. things are worse than i imagined.', 'the good news is, im watching it.', 'perhaps the glucophage needs to kickin over a period to have me be more responsive, i am going to start taking cinnamon at least 1 tsp a day, per a report i read that some people are usoing that and diet alone to regulate thier sugars.', 'it is obvious that the correct diet (less than 60 carbs a day should be more than sufficient) is not enough for me to combat this.']"
"18,June,2004","

	 
      i know im getting obsessive, but i need to get a handle on this goddamn sugar crisis.
     

    
","['\n\n\t \n      i know im getting obsessive, but i need to get a handle on this goddamn sugar crisis.']"
"18,June,2004","

	 
      crap. full night of fasting plus glucophage and glpizid, and my sugars are still 185. what kinda crap is that?
     

    
","['\n\n\t \n      crap.', 'full night of fasting plus glucophage and glpizid, and my sugars are still 185. what kinda crap is that?']"
"18,June,2004","

	 
      i really should re-read the atkins book before starting. do i want to jump into full on induction phase eating 20 carbs or less a day, or acclimatize myself? i dont know. i think i lived on t-bone steak, cream cheese celery and macadamia nuts the first time.   blah
     

    
","['\n\n\t \n      i really should re-read the atkins book before starting.', 'do i want to jump into full on induction phase eating 20 carbs or less a day, or acclimatize myself?', 'i dont know.', 'i think i lived on t-bone steak, cream cheese celery and macadamia nuts the first time.', 'blah']"
"18,June,2004","

	 
      235 one hour after dinner.    i had a glucophage this morning and hardly any carbs all day. this is depressing. after fasting my sugar should be at 120 or less, after eating i think at 150.  i should be taking three glucophage a day and two glipizid. its apparent to me that even if i ate nothing, my blood sugar is high, how do you escape that? fuck. i hope if my weight goes down to 150, the diabetes will go away. thats the goal anyway.   poop. tommorrow is another day   
     

    
","['\n\n\t \n      235 one hour after dinner.', 'i had a glucophage this morning and hardly any carbs all day.', 'this is depressing.', 'after fasting my sugar should be at 120 or less, after eating i think at 150.  i should be taking three glucophage a day and two glipizid.', 'its apparent to me that even if i ate nothing, my blood sugar is high, how do you escape that?', 'fuck.', 'i hope if my weight goes down to 150, the diabetes will go away.', 'thats the goal anyway.', 'poop.', 'tommorrow is another day']"
"18,June,2004","

	 
      its not working. :( maybe the skytel email isnt fast enough, but what the hell? 
     

    
","['\n\n\t \n      its not working.', ':( maybe the skytel email isnt fast enough, but what the hell?']"
"18,June,2004","

	 
      my pop just offered me one grand for every ten pounds i lose.   i need to lose about 100.   thanks dad, i love you
     

    
","['\n\n\t \n      my pop just offered me one grand for every ten pounds i lose.', 'i need to lose about 100.   thanks dad, i love you']"
"18,June,2004","

	 
      shrimp louie salad - 12 carbs can of black olives - 9 carbs protein bar - 3 carbs smart water - 0 carbs big juicy steak - 0 carbs  3 cups zuchinni w\ little onion - 15 carbs  half a big cucumber - 4 (fiber?)  all in all not bad,   plus 2 booster pills with cayanne, greentea leaf etc.   i have not officially weighed myself yet, will do that at the gym tommorrow. 
     

    
","['\n\n\t \n      shrimp louie salad - 12 carbs can of black olives - 9 carbs protein bar - 3 carbs smart water - 0 carbs big juicy steak - 0 carbs  3 cups zuchinni w\\ little onion - 15 carbs  half a big cucumber - 4 (fiber?)', 'all in all not bad,   plus 2 booster pills with cayanne, greentea leaf etc.', 'i have not officially weighed myself yet, will do that at the gym tommorrow.']"
"18,June,2004","

	 
       urllink    me july 4 last year. good pic, doesn't show chins three and four&nbsp; urllink   
     

    
","['\n\n\t \n       urllink    me july 4 last year.', ""good pic, doesn't show chins three and four&nbsp; urllink""]"
"18,June,2004","

	 
      i am almost 40 going on 14. i weigh in at about 240 my blood sugar is high. close to 200. i am losing my hair (thanks hormones)  last week at my optomitrist, she said if i keep this up, in 8 years i will have retinopathy. not sure what that is exactly, but it dosn't sound good.   so, i begin the atkins plan, medication therapy for my hormones and some sort of exercise (sorry hair, you're sol)  and this is the blog.   each journey begins with one step
     

    
","['\n\n\t \n      i am almost 40 going on 14. i weigh in at about 240 my blood sugar is high.', 'close to 200. i am losing my hair (thanks hormones)  last week at my optomitrist, she said if i keep this up, in 8 years i will have retinopathy.', ""not sure what that is exactly, but it dosn't sound good."", ""so, i begin the atkins plan, medication therapy for my hormones and some sort of exercise (sorry hair, you're sol)  and this is the blog."", 'each journey begins with one step']"
"18,June,2004","

	 
      woke up at five am,,, realized i hadnt taken my last glucophage last night!!!!! (and i had some carb solutions ice cream at 11pm, bad kitty) so i tested, fearing the worst, and i was at 76!!!... so i took the glucophage and woke up now to 81. so what is the moral of this story? is the glucophage raising my sugars at night? wtf is going on ?  im so confused. 
     

    
","['\n\n\t \n      woke up at five am,,, realized i hadnt taken my last glucophage last night!!!!!', '(and i had some carb solutions ice cream at 11pm, bad kitty) so i tested, fearing the worst, and i was at 76!!!...', 'so i took the glucophage and woke up now to 81. so what is the moral of this story?', 'is the glucophage raising my sugars at night?', 'wtf is going on ?', 'im so confused.']"
"18,June,2004","

	 
      ham sandwich for lunch, about 1:30. i had some cereal for breakfast, thats it. took glucophage at 2pm.  had stiry fry fresh green beans for dinner, yum, with a hamburger patty.. earlier, around 4pm had about a cup of carb options butter pecan, which was extrodinarily good.. its now about 2 hours since dinner, and i have not had any meds since lunch.. so my blood sugars leveled off nicely on thier own. took glipizid just now,, will take gluch before bed. ho hum. :)
     

    
","['\n\n\t \n      ham sandwich for lunch, about 1:30. i had some cereal for breakfast, thats it.', 'took glucophage at 2pm.', 'had stiry fry fresh green beans for dinner, yum, with a hamburger patty.. earlier, around 4pm had about a cup of carb options butter pecan, which was extrodinarily good.. its now about 2 hours since dinner, and i have not had any meds since lunch.. so my blood sugars leveled off nicely on thier own.', 'took glipizid just now,, will take gluch before bed.', 'ho hum.', ':)']"
"18,June,2004","

	 
      not bad.   again, to tired to get up at 4am to take meds. dammit. but, what i did yesterday as take glipizid with dinner.. and 2 hours later i was at 95 which is great.. and then took the glucophage at midnight.  i will try that again tonight. 
     

    
","['\n\n\t \n      not bad.', 'again, to tired to get up at 4am to take meds.', 'dammit.', 'but, what i did yesterday as take glipizid with dinner.. and 2 hours later i was at 95 which is great.. and then took the glucophage at midnight.', 'i will try that again tonight.']"
"18,June,2004","

	 
      last night blood was 110, which wasnt bad since i ate late, didnt take meds till 40 min after dinner, and had a huge peice of so-call sugar free candy before going to sleep at about eleven.  i guess it realy is sugar free then. thank god  i finished it and can only buy it fromt he traveling road show at costco.   anyhoo.. could not rouse my self to test and take meds at 4:30. so 7:20 blod was 111 and thats not too bad. 
     

    
","['\n\n\t \n      last night blood was 110, which wasnt bad since i ate late, didnt take meds till 40 min after dinner, and had a huge peice of so-call sugar free candy before going to sleep at about eleven.', 'i guess it realy is sugar free then.', 'thank god  i finished it and can only buy it fromt he traveling road show at costco.', 'anyhoo.. could not rouse my self to test and take meds at 4:30. so 7:20 blod was 111 and thats not too bad.']"
"18,June,2004","

	 
      blood has been okay i guess.. 110, 119 afte reating, 99 before aft. snack.  the people on the atkins board seem to think that fasting sugars above 100 are nt acceptable, while the ada seems to think that up to 120 fasting is okay. so who is right? i dont think there is damage at under 120.. and my levels after eating (within one hour havent been over 140 and within 2 hours have been about 120-126, which is okay. the problem niggling me has been the morning sugars. there is definately something going on. the glucophage i beleive just increases the insulin sensitivity, the glipizid, im not sure, but i beleive it actualy decrease the sugar. so.. im going to do too things, not take my meds until after dinner, about 10 pm, and in the am, take the glipizid at 4:30 and the glucophage before breakfast.   so there.   i got the blues.
     

    
","['\n\n\t \n      blood has been okay i guess.. 110, 119 afte reating, 99 before aft.', 'snack.', 'the people on the atkins board seem to think that fasting sugars above 100 are nt acceptable, while the ada seems to think that up to 120 fasting is okay.', 'so who is right?', 'i dont think there is damage at under 120.. and my levels after eating (within one hour havent been over 140 and within 2 hours have been about 120-126, which is okay.', 'the problem niggling me has been the morning sugars.', 'there is definately something going on.', 'the glucophage i beleive just increases the insulin sensitivity, the glipizid, im not sure, but i beleive it actualy decrease the sugar.', 'so.. im going to do too things, not take my meds until after dinner, about 10 pm, and in the am, take the glipizid at 4:30 and the glucophage before breakfast.', 'so there.', 'i got the blues.']"
"18,June,2004","

	 
      okay, trying to outsmart this thing, i set the alarm for 4:30 am, to test and take my morning meds early.   i couldnt rouse myslef till five, and i tested (on my arm) at 114. i took only glucophage, thinking both might be too much, and what about breakfast?  went back to sleep and woke up at 9am, and my blood is 121.   shit.   then i immediately tested my leg, which showed at 130!  so the good news is, i've been probably testing too high, since leg was my testing site of choice, and  i' supposed  to be testing from my fingers or arm.   however, i cannot seem to beat this fucking high morning sugar thing.   tommorrow i will trytaking just hte glipizid, and next day, both.  but now i have to see if its going to scew up my breakfast reaction. had about 9 grams carbs with high fiber ceral and cream this morning. 
     

    
","['\n\n\t \n      okay, trying to outsmart this thing, i set the alarm for 4:30 am, to test and take my morning meds early.', 'i couldnt rouse myslef till five, and i tested (on my arm) at 114. i took only glucophage, thinking both might be too much, and what about breakfast?', 'went back to sleep and woke up at 9am, and my blood is 121.   shit.', 'then i immediately tested my leg, which showed at 130!', ""so the good news is, i've been probably testing too high, since leg was my testing site of choice, and  i' supposed  to be testing from my fingers or arm."", 'however, i cannot seem to beat this fucking high morning sugar thing.', 'tommorrow i will trytaking just hte glipizid, and next day, both.', 'but now i have to see if its going to scew up my breakfast reaction.', 'had about 9 grams carbs with high fiber ceral and cream this morning.']"
"18,June,2004","

	 
      i'm having one. although my blood sugars (hereafter known as bs) are pretty close to normal now, and my blood pressure is down as well as my pulse rate, im pissed at my body. im pissed that missing my meds even at this low a carb intake, causes major bs spikes, i'm not losing any weight and none of these changes has improved my housekeeping skills.   bad day, but sugars normal. 30 day avg is 110!
     

    
","[""\n\n\t \n      i'm having one."", 'although my blood sugars (hereafter known as bs) are pretty close to normal now, and my blood pressure is down as well as my pulse rate, im pissed at my body.', ""im pissed that missing my meds even at this low a carb intake, causes major bs spikes, i'm not losing any weight and none of these changes has improved my housekeeping skills."", 'bad day, but sugars normal.', '30 day avg is 110!']"
