dates,posts,sentence_tokenize,word_tokenize
"01,August,2004","


       
      testing
     

    
",['\n\n\n       \n      testing'],['testing']
"01,August,2004","


       
      with each and every passing day its hard to imagine your going away... i still wake up every day cherishing your presence in a special way... no matter where i am or what i'm doing your always there in my heart... you never leave my mind, or eyes, i don't even try it would be to hard....  each minute away seems like a whole day and a different place.... each hour is spent picturing your smile and your face.... each thought becomes physical, as i race to make it home.... excited to just see your face, not have to talk on the phone....  i realize when i walk through the door i've been dreaming all day.... your more beautiful than i could ever dream now that we're face to face... as i wrap my arms around you and cherish we're in the same place... alls i can think of is your passionate kiss, and how i've longed for its taste....  its time to relax now so we sit down and vent about our days... we talk about all we've done, and how we missed each others face.... we spend our evenings together whoever said they needed space.... we wrap around each other as we drift away to our dreams... i'm laying next to the only girl i want how bad can life be.....  to many this is boring and just seems like killing time.... to me this is heaven and just being with what is mine.... listening to her breathe in my ear, knowing just then shes fine.... we might be lame laying there all curled.... but i wouldn't change a thing, i'm the happiest man in the world....
     

    
","[""\n\n\n       \n      with each and every passing day its hard to imagine your going away... i still wake up every day cherishing your presence in a special way... no matter where i am or what i'm doing your always there in my heart... you never leave my mind, or eyes, i don't even try it would be to hard....  each minute away seems like a whole day and a different place.... each hour is spent picturing your smile and your face.... each thought becomes physical, as i race to make it home.... excited to just see your face, not have to talk on the phone....  i realize when i walk through the door i've been dreaming all day.... your more beautiful than i could ever dream now that we're face to face... as i wrap my arms around you and cherish we're in the same place... alls i can think of is your passionate kiss, and how i've longed for its taste....  its time to relax now so we sit down and vent about our days... we talk about all we've done, and how we missed each others face.... we spend our evenings together whoever said they needed space.... we wrap around each other as we drift away to our dreams... i'm laying next to the only girl i want how bad can life be.....  to many this is boring and just seems like killing time.... to me this is heaven and just being with what is mine.... listening to her breathe in my ear, knowing just then shes fine.... we might be lame laying there all curled.... but i wouldn't change a thing, i'm the happiest man in the world....""]","['with', 'each', 'and', 'every', 'passing', 'day', 'its', 'hard', 'to', 'imagine', 'your', 'going', 'away', '...', 'i', 'still', 'wake', 'up', 'every', 'day', 'cherishing', 'your', 'presence', 'in', 'a', 'special', 'way', '...', 'no', 'matter', 'where', 'i', 'am', 'or', 'what', 'i', ""'m"", 'doing', 'your', 'always', 'there', 'in', 'my', 'heart', '...', 'you', 'never', 'leave', 'my', 'mind', ',', 'or', 'eyes', ',', 'i', 'do', ""n't"", 'even', 'try', 'it', 'would', 'be', 'to', 'hard', '...', '.', 'each', 'minute', 'away', 'seems', 'like', 'a', 'whole', 'day', 'and', 'a', 'different', 'place', '...', '.', 'each', 'hour', 'is', 'spent', 'picturing', 'your', 'smile', 'and', 'your', 'face', '...', '.', 'each', 'thought', 'becomes', 'physical', ',', 'as', 'i', 'race', 'to', 'make', 'it', 'home', '...', '.', 'excited', 'to', 'just', 'see', 'your', 'face', ',', 'not', 'have', 'to', 'talk', 'on', 'the', 'phone', '...', '.', 'i', 'realize', 'when', 'i', 'walk', 'through', 'the', 'door', 'i', ""'ve"", 'been', 'dreaming', 'all', 'day', '...', '.', 'your', 'more', 'beautiful', 'than', 'i', 'could', 'ever', 'dream', 'now', 'that', 'we', ""'re"", 'face', 'to', 'face', '...', 'as', 'i', 'wrap', 'my', 'arms', 'around', 'you', 'and', 'cherish', 'we', ""'re"", 'in', 'the', 'same', 'place', '...', 'alls', 'i', 'can', 'think', 'of', 'is', 'your', 'passionate', 'kiss', ',', 'and', 'how', 'i', ""'ve"", 'longed', 'for', 'its', 'taste', '...', '.', 'its', 'time', 'to', 'relax', 'now', 'so', 'we', 'sit', 'down', 'and', 'vent', 'about', 'our', 'days', '...', 'we', 'talk', 'about', 'all', 'we', ""'ve"", 'done', ',', 'and', 'how', 'we', 'missed', 'each', 'others', 'face', '...', '.', 'we', 'spend', 'our', 'evenings', 'together', 'whoever', 'said', 'they', 'needed', 'space', '...', '.', 'we', 'wrap', 'around', 'each', 'other', 'as', 'we', 'drift', 'away', 'to', 'our', 'dreams', '...', 'i', ""'m"", 'laying', 'next', 'to', 'the', 'only', 'girl', 'i', 'want', 'how', 'bad', 'can', 'life', 'be', '...', '..', 'to', 'many', 'this', 'is', 'boring', 'and', 'just', 'seems', 'like', 'killing', 'time', '...', '.', 'to', 'me', 'this', 'is', 'heaven', 'and', 'just', 'being', 'with', 'what', 'is', 'mine', '...', '.', 'listening', 'to', 'her', 'breathe', 'in', 'my', 'ear', ',', 'knowing', 'just', 'then', 'shes', 'fine', '...', '.', 'we', 'might', 'be', 'lame', 'laying', 'there', 'all', 'curled', '...', '.', 'but', 'i', 'would', ""n't"", 'change', 'a', 'thing', ',', 'i', ""'m"", 'the', 'happiest', 'man', 'in', 'the', 'world', '...', '.']"
"01,August,2004","


       
      today was cool. i woke up this morning @ 9:30 and got dressed, just then i decided that salleh looked cold so i laid back in bed with her to keep her warm for a few more minutes... fast forward to 12:30... i woke up a second time... undressed took a shower .... then as i was leaving sally muttered... ""what about mcdonalds"" with her sleepy voice still sleeping in bed... she wanted some breakfast or lunch .... so i left here and went and got us some grub when  i got back we ate together and i left for work.  she stayed home and then at 4 went to work.... blah thats done now.  i went to work then went to my boy kewons house and hooked up a computer.... saw his pitbulls ... after all of that i drove home and on the way sally called me and wanted me to come up there and see her... so i did.  i had the smoke house chicken dinner... after i ate that i went and smoked a cigerette with her in the backroom where she said to me, ""if i get caught i'm getting fired.."" heh see what she will do for a cigerette with me? hahah i'd like to think it was because i was there but i just think she needed a cigerette... :p  anywho now i'm home .... and i went out and bought 8 things of red bull and a 5th of vodka... and her and i are going to drink and play match.... for the first time in a minute her and i are going to have our alone night and i'm like so looking forward to it.... a night where her and i can make each other laugh and giggle... then by the end of the night with all of those intoxicants inside of us we will be going to bed... or at least trying.... so this defintly could be a good night from what i see so far... i'm totally excited.... okay here she is.... haha complaining about my pop she carried in getting on her shirt.... until next time.... peace
     

    
","['\n\n\n       \n      today was cool.', 'i woke up this morning @ 9:30 and got dressed, just then i decided that salleh looked cold so i laid back in bed with her to keep her warm for a few more minutes... fast forward to 12:30... i woke up a second time... undressed took a shower .... then as i was leaving sally muttered... ""what about mcdonalds"" with her sleepy voice still sleeping in bed... she wanted some breakfast or lunch .... so i left here and went and got us some grub when  i got back we ate together and i left for work.', 'she stayed home and then at 4 went to work.... blah thats done now.', 'i went to work then went to my boy kewons house and hooked up a computer.... saw his pitbulls ... after all of that i drove home and on the way sally called me and wanted me to come up there and see her... so i did.', 'i had the smoke house chicken dinner... after i ate that i went and smoked a cigerette with her in the backroom where she said to me, ""if i get caught i\'m getting fired.."" heh see what she will do for a cigerette with me?', ""hahah i'd like to think it was because i was there but i just think she needed a cigerette... :p  anywho now i'm home .... and i went out and bought 8 things of red bull and a 5th of vodka... and her and i are going to drink and play match.... for the first time in a minute her and i are going to have our alone night and i'm like so looking forward to it.... a night where her and i can make each other laugh and giggle... then by the end of the night with all of those intoxicants inside of us we will be going to bed... or at least trying.... so this defintly could be a good night from what i see so far... i'm totally excited.... okay here she is.... haha complaining about my pop she carried in getting on her shirt.... until next time.... peace""]","['hahah', 'i', ""'d"", 'like', 'to', 'think', 'it', 'was', 'because', 'i', 'was', 'there', 'but', 'i', 'just', 'think', 'she', 'needed', 'a', 'cigerette', '...', ':', 'p', 'anywho', 'now', 'i', ""'m"", 'home', '...', '.', 'and', 'i', 'went', 'out', 'and', 'bought', '8', 'things', 'of', 'red', 'bull', 'and', 'a', '5th', 'of', 'vodka', '...', 'and', 'her', 'and', 'i', 'are', 'going', 'to', 'drink', 'and', 'play', 'match', '...', '.', 'for', 'the', 'first', 'time', 'in', 'a', 'minute', 'her', 'and', 'i', 'are', 'going', 'to', 'have', 'our', 'alone', 'night', 'and', 'i', ""'m"", 'like', 'so', 'looking', 'forward', 'to', 'it', '...', '.', 'a', 'night', 'where', 'her', 'and', 'i', 'can', 'make', 'each', 'other', 'laugh', 'and', 'giggle', '...', 'then', 'by', 'the', 'end', 'of', 'the', 'night', 'with', 'all', 'of', 'those', 'intoxicants', 'inside', 'of', 'us', 'we', 'will', 'be', 'going', 'to', 'bed', '...', 'or', 'at', 'least', 'trying', '...', '.', 'so', 'this', 'defintly', 'could', 'be', 'a', 'good', 'night', 'from', 'what', 'i', 'see', 'so', 'far', '...', 'i', ""'m"", 'totally', 'excited', '...', '.', 'okay', 'here', 'she', 'is', '...', '.', 'haha', 'complaining', 'about', 'my', 'pop', 'she', 'carried', 'in', 'getting', 'on', 'her', 'shirt', '...', '.', 'until', 'next', 'time', '...', '.', 'peace']"
"01,August,2004","


       
      so far today has been quite interesting.  i arrived at work to find that one of my loans was ready to be processed and closed, which means lots of money coming my way real quick.  then i got paid for another deal, sally came down to my office and we went to the bank together to deposit the check into our account.  she just now left to work from here and is working the majority of the evening most likely.  i think i'm gonna head home here in a bit, possibly go tanning on the way back... hmmmm ya know fuck it... i think i'm gonna have 'steve time' and go ahead and do that shit.    things have been really ..... stressful lately i'm not sure why but.... in the words of eminem... sometimes it feels like the worlds on my shoulders everyones leaning on me.....  i'm gonna pull through and be victorious though... i mean fuck, i don't have a choice.  i have people that are depending on me... so i have too.    sometimes life just seems like it would be so much easier with out any obligations except for myself, but then i realize that easier is not always better... and sometimes when you have obligations they make you achieve more.... i wouldn't trade my obligations for nothing.  my obligations are human and alive... and i love em both... but fuck... heh.... (peanut & salleh).  well fuck i better get out of here and get to the tanning salon before traffic gets crazy... so i'm on my way out.... peace!
     

    
","['\n\n\n       \n      so far today has been quite interesting.', 'i arrived at work to find that one of my loans was ready to be processed and closed, which means lots of money coming my way real quick.', 'then i got paid for another deal, sally came down to my office and we went to the bank together to deposit the check into our account.', 'she just now left to work from here and is working the majority of the evening most likely.', ""i think i'm gonna head home here in a bit, possibly go tanning on the way back... hmmmm ya know fuck it... i think i'm gonna have 'steve time' and go ahead and do that shit."", ""things have been really ..... stressful lately i'm not sure why but.... in the words of eminem... sometimes it feels like the worlds on my shoulders everyones leaning on me.....  i'm gonna pull through and be victorious though... i mean fuck, i don't have a choice."", 'i have people that are depending on me... so i have too.', ""sometimes life just seems like it would be so much easier with out any obligations except for myself, but then i realize that easier is not always better... and sometimes when you have obligations they make you achieve more.... i wouldn't trade my obligations for nothing."", 'my obligations are human and alive... and i love em both... but fuck... heh.... (peanut & salleh).', ""well fuck i better get out of here and get to the tanning salon before traffic gets crazy... so i'm on my way out.... peace!""]","['well', 'fuck', 'i', 'better', 'get', 'out', 'of', 'here', 'and', 'get', 'to', 'the', 'tanning', 'salon', 'before', 'traffic', 'gets', 'crazy', '...', 'so', 'i', ""'m"", 'on', 'my', 'way', 'out', '...', '.', 'peace', '!']"
"01,August,2004","


       
      [ private entry ]
     

    
",['\n\n\n       \n      [ private entry ]'],"['[', 'private', 'entry', ']']"
"01,August,2004","


       
      i feel like shit.  blah.  don't you hate when your back is against the wall... and you really can't just ... be freeeeeee for whatever reasons you have no choice but to be the way you are being.... quiet... secluded..... i don't know... it's just that i know people too well... and i can take hints even when they are not hints... its just someone talking.... but inadvertantly giving hints.... hints to me... what they really want... and thats.... not me there..... blah.
     

    
","['\n\n\n       \n      i feel like shit.', 'blah.', ""don't you hate when your back is against the wall... and you really can't just ... be freeeeeee for whatever reasons you have no choice but to be the way you are being.... quiet... secluded..... i don't know... it's just that i know people too well... and i can take hints even when they are not hints... its just someone talking.... but inadvertantly giving hints.... hints to me... what they really want... and thats.... not me there..... blah.""]","['do', ""n't"", 'you', 'hate', 'when', 'your', 'back', 'is', 'against', 'the', 'wall', '...', 'and', 'you', 'really', 'ca', ""n't"", 'just', '...', 'be', 'freeeeeee', 'for', 'whatever', 'reasons', 'you', 'have', 'no', 'choice', 'but', 'to', 'be', 'the', 'way', 'you', 'are', 'being', '...', '.', 'quiet', '...', 'secluded', '...', '..', 'i', 'do', ""n't"", 'know', '...', 'it', ""'s"", 'just', 'that', 'i', 'know', 'people', 'too', 'well', '...', 'and', 'i', 'can', 'take', 'hints', 'even', 'when', 'they', 'are', 'not', 'hints', '...', 'its', 'just', 'someone', 'talking', '...', '.', 'but', 'inadvertantly', 'giving', 'hints', '...', '.', 'hints', 'to', 'me', '...', 'what', 'they', 'really', 'want', '...', 'and', 'thats', '...', '.', 'not', 'me', 'there', '...', '..', 'blah', '.']"
"01,August,2004","


       
      *yawn* i apologize for the lack of updates, but you must excuse me for the procrastination.  things have been so fucking hectic as of lately it is almost even hard to imagine.  i've been going through some things that i'm finally coming to terms with and being able to accept and make the best of it, the last thing that has been on my mind is this website unfortunately.    but things are starting to look better (dare i say it?), so hopefully i can continue my habit that i once had and keep posting here... i wish i could just vent and let you guys know what's been going on .... but its   private  .  trust me... i would tell you if i thought there was a way.    sally and i are great - i'm sure that is what you guys are immediately thinking .... no we are not broken up... she still lives here.... we are still together... and most importantly we are still happy :)  i guess my problems have just been **my** problems.... having a lot of ""reality checks"" and realizing i'm not where i want to be in life with this mortgage business - so i'm in the process now of trying to do something to change it... so that my work can accommodate my lifestyle that i will be having here shortly when i start school........  basically the world has just been stressful and the last thought on my head has been this site ;)  hope to be posting more now...
     

    
","['\n\n\n       \n      *yawn* i apologize for the lack of updates, but you must excuse me for the procrastination.', 'things have been so fucking hectic as of lately it is almost even hard to imagine.', ""i've been going through some things that i'm finally coming to terms with and being able to accept and make the best of it, the last thing that has been on my mind is this website unfortunately."", 'but things are starting to look better (dare i say it?', ""), so hopefully i can continue my habit that i once had and keep posting here... i wish i could just vent and let you guys know what's been going on .... but its   private  ."", 'trust me... i would tell you if i thought there was a way.', 'sally and i are great - i\'m sure that is what you guys are immediately thinking .... no we are not broken up... she still lives here.... we are still together... and most importantly we are still happy :)  i guess my problems have just been **my** problems.... having a lot of ""reality checks"" and realizing i\'m not where i want to be in life with this mortgage business - so i\'m in the process now of trying to do something to change it... so that my work can accommodate my lifestyle that i will be having here shortly when i start school........  basically the world has just been stressful and the last thought on my head has been this site ;)  hope to be posting more now...']","['sally', 'and', 'i', 'are', 'great', '-', 'i', ""'m"", 'sure', 'that', 'is', 'what', 'you', 'guys', 'are', 'immediately', 'thinking', '...', '.', 'no', 'we', 'are', 'not', 'broken', 'up', '...', 'she', 'still', 'lives', 'here', '...', '.', 'we', 'are', 'still', 'together', '...', 'and', 'most', 'importantly', 'we', 'are', 'still', 'happy', ':', ')', 'i', 'guess', 'my', 'problems', 'have', 'just', 'been', '**my**', 'problems', '...', '.', 'having', 'a', 'lot', 'of', '``', 'reality', 'checks', ""''"", 'and', 'realizing', 'i', ""'m"", 'not', 'where', 'i', 'want', 'to', 'be', 'in', 'life', 'with', 'this', 'mortgage', 'business', '-', 'so', 'i', ""'m"", 'in', 'the', 'process', 'now', 'of', 'trying', 'to', 'do', 'something', 'to', 'change', 'it', '...', 'so', 'that', 'my', 'work', 'can', 'accommodate', 'my', 'lifestyle', 'that', 'i', 'will', 'be', 'having', 'here', 'shortly', 'when', 'i', 'start', 'school', '...', '...', '..', 'basically', 'the', 'world', 'has', 'just', 'been', 'stressful', 'and', 'the', 'last', 'thought', 'on', 'my', 'head', 'has', 'been', 'this', 'site', ';', ')', 'hope', 'to', 'be', 'posting', 'more', 'now', '...']"
"01,August,2004","


       
       ""we don't live in the world of reality, we live in the world of how we perceive reality.""  bryan singer, director of ""the usual suspects""   today was interesting.  i really don't know what too say about it... i woke up feeling good considering what i did to my body the night before with drinking, sally on the other hand hardly could pull herself out of the bed.  anywho the majority of the day i spent laying on the couch with sally pretty much telling one another our hopes dreams and regret for drinking as much the night before.   so fuck i'm feeling wierd.  *sigh* i don't even know where to start.  what happens when you cherish something so special, and it is only special because of something unique... i mean that is what makes it ... ""special"".  so what happens when you begin to see that vision of the unique quality in that special person changing beyond your control.  the person has several different qualities which make them so special, but this one quality almost defies the person to your heart.  possibly a quality that opens the door to your heart.  blah blah blah... i don't know where i'm going with this... or if i even wanna go on with this.... but none the less ....  it boils down to the fact, that no matter what i'm feeling or why i'm feeling it.... even if it makes sense to me... i can't react to it based on selfish reasons.....  but sometimes.... i just want to feel like... i'm worth a piece of sacrafice... because ... to me.... my special person is worth the ultimate sacrafice.. and if i would lay that down with out ever questioning a thing or think of being selfish... for something so little, why can't i feel that way?  its selfish in its self... and blah .... blah .... blah.  i'm going now...   
     

    
","['\n\n\n       \n       ""we don\'t live in the world of reality, we live in the world of how we perceive reality.""', 'bryan singer, director of ""the usual suspects""   today was interesting.', ""i really don't know what too say about it... i woke up feeling good considering what i did to my body the night before with drinking, sally on the other hand hardly could pull herself out of the bed."", 'anywho the majority of the day i spent laying on the couch with sally pretty much telling one another our hopes dreams and regret for drinking as much the night before.', ""so fuck i'm feeling wierd."", ""*sigh* i don't even know where to start."", 'what happens when you cherish something so special, and it is only special because of something unique... i mean that is what makes it ... ""special"".', 'so what happens when you begin to see that vision of the unique quality in that special person changing beyond your control.', 'the person has several different qualities which make them so special, but this one quality almost defies the person to your heart.', 'possibly a quality that opens the door to your heart.', ""blah blah blah... i don't know where i'm going with this... or if i even wanna go on with this.... but none the less ....  it boils down to the fact, that no matter what i'm feeling or why i'm feeling it.... even if it makes sense to me... i can't react to it based on selfish reasons.....  but sometimes.... i just want to feel like... i'm worth a piece of sacrafice... because ... to me.... my special person is worth the ultimate sacrafice.. and if i would lay that down with out ever questioning a thing or think of being selfish... for something so little, why can't i feel that way?"", 'its selfish in its self... and blah .... blah .... blah.', ""i'm going now...""]","['i', ""'m"", 'going', 'now', '...']"
"01,August,2004","


       
      its saturday night sally and i are getting ready to go over shawns house and drink play pool and more less get intoxicated again.  (begining to feel like an alchoholic).  none the less, last night we went down too ypsi and partied with sallys sister stephy... hmmm it was a really good time we ended up going to her frat friends party house and getting pretty drunk.... heh then when we woke up this morning (stayed the night out there) - and after the fact we decided that we would go to my buddy kewons house and look at his pit puppy that he wants to sell me... it is beautiful - then he offered to sell me a condo that he owns.... blah... heh been an interesting day.....  so yeah i think i'm gonna get going now... btw we posted the pictures of florida... just haven't added them to the pictures page.... heh go check them out right here....  urllink florida pictures 
     

    
","['\n\n\n       \n      its saturday night sally and i are getting ready to go over shawns house and drink play pool and more less get intoxicated again.', '(begining to feel like an alchoholic).', ""none the less, last night we went down too ypsi and partied with sallys sister stephy... hmmm it was a really good time we ended up going to her frat friends party house and getting pretty drunk.... heh then when we woke up this morning (stayed the night out there) - and after the fact we decided that we would go to my buddy kewons house and look at his pit puppy that he wants to sell me... it is beautiful - then he offered to sell me a condo that he owns.... blah... heh been an interesting day.....  so yeah i think i'm gonna get going now... btw we posted the pictures of florida... just haven't added them to the pictures page.... heh go check them out right here....  urllink florida pictures""]","['none', 'the', 'less', ',', 'last', 'night', 'we', 'went', 'down', 'too', 'ypsi', 'and', 'partied', 'with', 'sallys', 'sister', 'stephy', '...', 'hmmm', 'it', 'was', 'a', 'really', 'good', 'time', 'we', 'ended', 'up', 'going', 'to', 'her', 'frat', 'friends', 'party', 'house', 'and', 'getting', 'pretty', 'drunk', '...', '.', 'heh', 'then', 'when', 'we', 'woke', 'up', 'this', 'morning', '(', 'stayed', 'the', 'night', 'out', 'there', ')', '-', 'and', 'after', 'the', 'fact', 'we', 'decided', 'that', 'we', 'would', 'go', 'to', 'my', 'buddy', 'kewons', 'house', 'and', 'look', 'at', 'his', 'pit', 'puppy', 'that', 'he', 'wants', 'to', 'sell', 'me', '...', 'it', 'is', 'beautiful', '-', 'then', 'he', 'offered', 'to', 'sell', 'me', 'a', 'condo', 'that', 'he', 'owns', '...', '.', 'blah', '...', 'heh', 'been', 'an', 'interesting', 'day', '...', '..', 'so', 'yeah', 'i', 'think', 'i', ""'m"", 'gon', 'na', 'get', 'going', 'now', '...', 'btw', 'we', 'posted', 'the', 'pictures', 'of', 'florida', '...', 'just', 'have', ""n't"", 'added', 'them', 'to', 'the', 'pictures', 'page', '...', '.', 'heh', 'go', 'check', 'them', 'out', 'right', 'here', '...', '.', 'urllink', 'florida', 'pictures']"
"01,August,2004","


       
      another day in the life of steve... last night i went and saw the movie ""passion of christ"".... what a powerful movie, didn't expect that whatsoever.  everyone i have talked to that has seen the movie has said that they cried during the movie, well leaving the movie i was kind of scared not knowing why i didn't cry... i mean i teared up on armagaddon... and not passion of the christ? am i the devil? nah heh it was the late show we went too and the mood that was overcasting the night.  none the less sally and i enjoyed the hell out of the movie.    today i'm going to the gym after work (where i am right now) while sally i think is going to get her nails done.  thats about all that is going on right now.... so until something fun changes..... or something... or anything.... um.... peace.
     

    
","['\n\n\n       \n      another day in the life of steve... last night i went and saw the movie ""passion of christ"".... what a powerful movie, didn\'t expect that whatsoever.', ""everyone i have talked to that has seen the movie has said that they cried during the movie, well leaving the movie i was kind of scared not knowing why i didn't cry... i mean i teared up on armagaddon... and not passion of the christ?"", 'am i the devil?', 'nah heh it was the late show we went too and the mood that was overcasting the night.', 'none the less sally and i enjoyed the hell out of the movie.', ""today i'm going to the gym after work (where i am right now) while sally i think is going to get her nails done."", 'thats about all that is going on right now.... so until something fun changes..... or something... or anything.... um.... peace.']","['thats', 'about', 'all', 'that', 'is', 'going', 'on', 'right', 'now', '...', '.', 'so', 'until', 'something', 'fun', 'changes', '...', '..', 'or', 'something', '...', 'or', 'anything', '...', '.', 'um', '...', '.', 'peace', '.']"
