dates,posts,sentence_tokenize
"31,May,2004","

	 
      ever wondered what a  urllink bad head, or a head crash  on a hard drive might sound like well wonder no more.  hitachi has your back, on their support page they have a variety of sounds of hds crashing and burning so to speak.  check it out, i'm so going to use this when i'm doing tech support.
     
    
","['\n\n\t \n      ever wondered what a  urllink bad head, or a head crash  on a hard drive might sound like well wonder no more.', 'hitachi has your back, on their support page they have a variety of sounds of hds crashing and burning so to speak.', ""check it out, i'm so going to use this when i'm doing tech support.""]"
"19,May,2004","

	 
      seems the wonderful corporate artists at etoy has started an  urllink etoy.day-care , it's goals are: etoy.day-care was established in 2001 to reach the following corporate goals: -to recruit and train outstanding individuals for long term etoy.operations                                                          -to research identity issues, group behavior patterns and the creativity potential of children in digital environments                                                          to integrate children into the production of art instead of teaching them about art                                                          -to study future markets and to give etoy a competitive edge                                                          -to test and improve etoy.art in a playful and innocent environment why can't i be 10 again!  seems very cool i'd totally forgottten about etoy.  reminded me i've also lost track of  urllink rtmark , i wonder how they are holding up.
     
    
","[""\n\n\t \n      seems the wonderful corporate artists at etoy has started an  urllink etoy.day-care , it's goals are: etoy.day-care was established in 2001 to reach the following corporate goals: -to recruit and train outstanding individuals for long term etoy.operations                                                          -to research identity issues, group behavior patterns and the creativity potential of children in digital environments                                                          to integrate children into the production of art instead of teaching them about art                                                          -to study future markets and to give etoy a competitive edge                                                          -to test and improve etoy.art in a playful and innocent environment why can't i be 10 again!"", ""seems very cool i'd totally forgottten about etoy."", ""reminded me i've also lost track of  urllink rtmark , i wonder how they are holding up.""]"
"18,May,2004","

	 
      a gentleman spends the better part of his life documenting his life, how much does it cost him to make the video $218 roughly, yet when he investigates the cost of the music that he wants to license in the video the price sky rockets to  urllink $400,000 .  though i must admit when i read stories like this i have to ask where did he get his camera and tape from?  also how did he edit this masterpiece?  last time i checked even a cheap camera ran about $200 for an extremely low end.  you easily run into the $500 range without batting an eye. and tape even in bulk isn't cheap.  what ticks me off is the ratio, not the exact amounts.
     
    
","['\n\n\t \n      a gentleman spends the better part of his life documenting his life, how much does it cost him to make the video $218 roughly, yet when he investigates the cost of the music that he wants to license in the video the price sky rockets to  urllink $400,000 .', 'though i must admit when i read stories like this i have to ask where did he get his camera and tape from?', 'also how did he edit this masterpiece?', 'last time i checked even a cheap camera ran about $200 for an extremely low end.', 'you easily run into the $500 range without batting an eye.', ""and tape even in bulk isn't cheap."", 'what ticks me off is the ratio, not the exact amounts.']"
"18,May,2004","

	 
      for me i don't have as much free time as i would like to.  i don't have time to create like i used to.  i haven't yet purchased from  urllink these guys , there price is sorta steep, starting at $299 for a set, or $99 for a clip.  their samples look quite beautiful, especially as an alpha channel overlay would add character to just about any video i think.
     
    
","[""\n\n\t \n      for me i don't have as much free time as i would like to."", ""i don't have time to create like i used to."", ""i haven't yet purchased from  urllink these guys , there price is sorta steep, starting at $299 for a set, or $99 for a clip."", 'their samples look quite beautiful, especially as an alpha channel overlay would add character to just about any video i think.']"
"16,May,2004","

	 
      what a better way to christen media wh0re.  then to link to a mpeg of a  urllink tornado sucks up entire house .  interesting side note is tapes and pictures of storms and tornadoes were what got me into media, both still and motion.
     
    
","['\n\n\t \n      what a better way to christen media wh0re.', 'then to link to a mpeg of a  urllink tornado sucks up entire house .', 'interesting side note is tapes and pictures of storms and tornadoes were what got me into media, both still and motion.']"
"16,May,2004","

	 
      just getting started.
     
    
",['\n\n\t \n      just getting started.']
"20,June,2004","

	 
      quite and interesting article,  urllink vj culture: from loop industry to real time scenarios .  makes me wonder if vjing is becoming mainstream will people finally understand what i'm talking about when i say i vj.
     
    
","['\n\n\t \n      quite and interesting article,  urllink vj culture: from loop industry to real time scenarios .', ""makes me wonder if vjing is becoming mainstream will people finally understand what i'm talking about when i say i vj.""]"
"15,June,2004","

	 
       urllink segways in a hip hop video?   need i say more.
     
    
","['\n\n\t \n       urllink segways in a hip hop video?', 'need i say more.']"
"05,June,2004","

	 
      wish this was a higher quality and that you could actually see him get hit.  but i guess you live with what you get.  still a decent video of  urllink a sheriff getting tasered  to show his support for the weapon
     
    
","['\n\n\t \n      wish this was a higher quality and that you could actually see him get hit.', 'but i guess you live with what you get.', 'still a decent video of  urllink a sheriff getting tasered  to show his support for the weapon']"
"04,June,2004","

	 
      ahh the joys of  urllink crappy wartime meets blair witch footage  to market a movie or show of some sort.  i love how it's supposed to be ""americans.""  first off they look more like journalists more then military.  and what proper self respecting american uses an ak-47?!?  i mean i would use an ak-47 but i don't consider myself a decent american.  bleh. i guess it's worth watching once, it's free unlike blair witch project was ;).
     
    
","['\n\n\t \n      ahh the joys of  urllink crappy wartime meets blair witch footage  to market a movie or show of some sort.', 'i love how it\'s supposed to be ""americans.""', 'first off they look more like journalists more then military.', 'and what proper self respecting american uses an ak-47?!?', ""i mean i would use an ak-47 but i don't consider myself a decent american."", 'bleh.', ""i guess it's worth watching once, it's free unlike blair witch project was ;).""]"
