dates,posts,sentence_tokenize
"24,May,2000","


     

      i wish i was back in high school for this one:   urllink wireless networking for the ti graphing calculators .  back in high school, our graphing calculators full of games saved some of our sanity.  we went so far as to create tetris tournaments.  i went so far as to create games in basic for the ti-85, then to learn assembly for the ti-92.  i never did get enough knowledge of the ti-92 to create games, but that knowledge did help me out with my college course in assembly.

     

    
","['\n\n\n     \n\n      i wish i was back in high school for this one:   urllink wireless networking for the ti graphing calculators .', 'back in high school, our graphing calculators full of games saved some of our sanity.', 'we went so far as to create tetris tournaments.', 'i went so far as to create games in basic for the ti-85, then to learn assembly for the ti-92.', 'i never did get enough knowledge of the ti-92 to create games, but that knowledge did help me out with my college course in assembly.']"
"23,May,2000","


     

       urllink mac os 9 versus corel linux ?  at first, this ""death match"" made no sense at all.  after reading the article, it still makes no sense at all but did a good job of explaining the abilities of these  alternative  oss.

     

    
","['\n\n\n     \n\n       urllink mac os 9 versus corel linux ?', 'at first, this ""death match"" made no sense at all.', 'after reading the article, it still makes no sense at all but did a good job of explaining the abilities of these  alternative  oss.']"
"23,May,2000","


     

      have they found out the  urllink mechanism for memory ?

     

    
",['\n\n\n     \n\n      have they found out the  urllink mechanism for memory ?']
"22,May,2000","


     

      i can smell her now. the scent is reminiscent of a powder. not baby powder, but a dry, mute aroma. a floral accent is present, similar to lilacs yet not as pungent. before this, i only had one visual. the setting is always the same. nighttime turns red to grey and yellow to white. she stands softly with her back to a wall of windows, covered mostly with draperies. it seems to be our bedroom. the visual of her is the strongest. long, straight hair frames her oval face, giving her an intelligent air. the color black is an understatement, for her raven hair is so dark it is translucent. the contrast to her pale skin is remarkable. though barely visible in the moonlight, her eyes burn with a comfortable evil. she is definitely my equal. her attire is still a bit hazy. the japanese aspects of my psyche scream out kimono, yet it could just be a simple shapeless dress she is wearing. the setting speaks that we are home for the night, or we could have just gotten home. there are many things i know, yet questions still remain. her emotion toward me has two possibilities; she is either upset and concerned about something between us, or she has a joy in her heart boundless. the year i turn 22 is pivotal, but is it because we meet this year, or because we get married in that year?  these images and soothsay swirl in my mind as a mist, never to be grasped.

     

    
","['\n\n\n     \n\n      i can smell her now.', 'the scent is reminiscent of a powder.', 'not baby powder, but a dry, mute aroma.', 'a floral accent is present, similar to lilacs yet not as pungent.', 'before this, i only had one visual.', 'the setting is always the same.', 'nighttime turns red to grey and yellow to white.', 'she stands softly with her back to a wall of windows, covered mostly with draperies.', 'it seems to be our bedroom.', 'the visual of her is the strongest.', 'long, straight hair frames her oval face, giving her an intelligent air.', 'the color black is an understatement, for her raven hair is so dark it is translucent.', 'the contrast to her pale skin is remarkable.', 'though barely visible in the moonlight, her eyes burn with a comfortable evil.', 'she is definitely my equal.', 'her attire is still a bit hazy.', 'the japanese aspects of my psyche scream out kimono, yet it could just be a simple shapeless dress she is wearing.', 'the setting speaks that we are home for the night, or we could have just gotten home.', 'there are many things i know, yet questions still remain.', 'her emotion toward me has two possibilities; she is either upset and concerned about something between us, or she has a joy in her heart boundless.', 'the year i turn 22 is pivotal, but is it because we meet this year, or because we get married in that year?', 'these images and soothsay swirl in my mind as a mist, never to be grasped.']"
"03,June,2000","


     

      to counteract my actions of snobbery, my monitor decided that it really really liked yellow.  trying to view the net in shades of yellow will kill your eyesight for at least an hour for every 5 minutes of surfing.  it was a nice flat screen 17 inch nec, but i got it used without a warranty.  $350 will disappear from my wallet soon.  i am currently using a 14'' pos, and 14 inches is not enough to satisfy.

     

    
","['\n\n\n     \n\n      to counteract my actions of snobbery, my monitor decided that it really really liked yellow.', 'trying to view the net in shades of yellow will kill your eyesight for at least an hour for every 5 minutes of surfing.', 'it was a nice flat screen 17 inch nec, but i got it used without a warranty.', '$350 will disappear from my wallet soon.', ""i am currently using a 14'' pos, and 14 inches is not enough to satisfy.""]"
"01,June,2000","


     

      sent by jamie (no surprise there...)

pick up lines that may get you hurt



1 if you and i were squirrels, could i bust a nut in your hole?

2 i'd like to wrap your legs around my head and wear you like a feed bag.

3 if it's true that we are what we eat, i could be you by morning!

4 how do you like your eggs: poached, scrambled, or fertilized?

5 i was about to go masturbate and i needed a name to go with your face.

6 you are so fine that i'd eat your shit just to see where it came from.

7 my love for you is like diarrhea, i just can't hold it in.

8 roses are red.  violets are blue.  i like spaghetti.  let's go f**k.

9 is that a keg in your pants?  'cause i would love to tap that ass!

10 if your right leg was thanksgiving, and your left leg was christmas, could i meet you between the holidays?

11 you remind me of a championship bass, i don't know whether to mount you or eat you!

12 your parents must be retarded, because you are special.

13 could i touch your belly button . . . from the inside?

14 i'm not too good at algebra, but doesn't u+i = 69?

15 how about we play lion and lion tamer?  you hold your mouth open, and i'll give you the meat.

     

    
","['\n\n\n     \n\n      sent by jamie (no surprise there...)\n\npick up lines that may get you hurt\n\n\n\n1 if you and i were squirrels, could i bust a nut in your hole?', ""2 i'd like to wrap your legs around my head and wear you like a feed bag."", ""3 if it's true that we are what we eat, i could be you by morning!"", '4 how do you like your eggs: poached, scrambled, or fertilized?', '5 i was about to go masturbate and i needed a name to go with your face.', ""6 you are so fine that i'd eat your shit just to see where it came from."", ""7 my love for you is like diarrhea, i just can't hold it in."", '8 roses are red.', 'violets are blue.', 'i like spaghetti.', ""let's go f**k.\n\n9 is that a keg in your pants?"", ""'cause i would love to tap that ass!"", '10 if your right leg was thanksgiving, and your left leg was christmas, could i meet you between the holidays?', ""11 you remind me of a championship bass, i don't know whether to mount you or eat you!"", '12 your parents must be retarded, because you are special.', '13 could i touch your belly button .', '.', '.', 'from the inside?', ""14 i'm not too good at algebra, but doesn't u+i = 69?"", '15 how about we play lion and lion tamer?', ""you hold your mouth open, and i'll give you the meat.""]"
"30,May,2000","


     

      i have waited this long to blog  urllink sluggy freelance  because it took me about a week to read all of the archives.  some of the jokes get old after awhile, but the concept is great!

     

    
","['\n\n\n     \n\n      i have waited this long to blog  urllink sluggy freelance  because it took me about a week to read all of the archives.', 'some of the jokes get old after awhile, but the concept is great!']"
"29,May,2000","


     

      last season was the first time i truly watched the real world.  it was a great season, and  urllink next season  seems to have great promise.

     

    
","['\n\n\n     \n\n      last season was the first time i truly watched the real world.', 'it was a great season, and  urllink next season  seems to have great promise.']"
"29,May,2000","


     

      even though jamie insists that this technology already exists, i think the development of  urllink instant water purification  is facinating.

     

    
","['\n\n\n     \n\n      even though jamie insists that this technology already exists, i think the development of  urllink instant water purification  is facinating.']"
"29,May,2000","


     

      this is very promising, if not utterly amazing.   urllink light can be accelerated to almost 300 times  c  .

     

    
","['\n\n\n     \n\n      this is very promising, if not utterly amazing.', 'urllink light can be accelerated to almost 300 times  c  .']"
"29,May,2000","


     

      the following concerns a question in a physics degree exam at the university of copenhagen:



""describe how to determine the height of a skyscraper with a barometer.""



one student replied:



""you tie a long piece of string to the neck of the barometer, then lower the barometer from the roof of the skyscraper to the ground. the length of the string plus the length of the barometer will equal the height of the building.""



this highly original answer so incensed the examiner that the student was failed immediately. the student appealed on the grounds that his answer was indisputably correct, and the university appointed an independent arbiter to decide the case.



the arbiter judged that the answer was indeed correct, but did not display any noticeable knowledge of physics. to resolve the problem it was decided to call the student in and allow him six minutes in which to provide a verbal answer which showed at least a minimal familiarity with the basic principles of physics.



for five minutes the student sat in silence, forehead creased in thought. the arbiter reminded him that time was running out, to which the student replied that he had several extremely relevant answers, but couldn't make up his mind which to use. on being advised to hurry up the student replied as follows:



""firstly, you could take the barometer up to the roof of the skyscraper, drop it over the edge, and measure the time it takes to reach the ground. the height of the building can then be worked out from the formula h = 0.5g x t squared. but bad luck on the barometer.""



""or if the sun is shining you could measure the height of the barometer, then set it on end and measure the length of its shadow. then you measure the length of the skyscraper's shadow, and thereafter it is a simple matter of proportional arithmetic to work out the height of the skyscraper.""



""but if you wanted to be highly scientific about it, you could tie a short piece of string to the barometer and swing it like a pendulum, first at ground level and then on the roof of the skyscraper. the height is worked out by the difference in the gravitational restoring force t = 2 pi sqrroot (l / g).""



""or if the skyscraper has an outside emergency staircase, it would be easier to walk up it and mark off the height of the skyscraper in barometer lengths, then add them up.""



""if you merely wanted to be boring and orthodox about it, of course, you could use the barometer to measure the air pressure on the roof of the skyscraper and on the ground, and convert the difference in millibars into feet to give the height of the building.""



""but since we are constantly being exhorted to exercise independence of mind and apply scientific methods, undoubtedly the best way would be to knock on the janitor's door and say to him 'if you would like a nice new barometer, i will give you this one if you tell me the height of this skyscraper'.""



the student was niels bohr, the only dane to win the nobel prize for physics.

     

    
","['\n\n\n     \n\n      the following concerns a question in a physics degree exam at the university of copenhagen:\n\n\n\n""describe how to determine the height of a skyscraper with a barometer.""', 'one student replied:\n\n\n\n""you tie a long piece of string to the neck of the barometer, then lower the barometer from the roof of the skyscraper to the ground.', 'the length of the string plus the length of the barometer will equal the height of the building.""', 'this highly original answer so incensed the examiner that the student was failed immediately.', 'the student appealed on the grounds that his answer was indisputably correct, and the university appointed an independent arbiter to decide the case.', 'the arbiter judged that the answer was indeed correct, but did not display any noticeable knowledge of physics.', 'to resolve the problem it was decided to call the student in and allow him six minutes in which to provide a verbal answer which showed at least a minimal familiarity with the basic principles of physics.', 'for five minutes the student sat in silence, forehead creased in thought.', ""the arbiter reminded him that time was running out, to which the student replied that he had several extremely relevant answers, but couldn't make up his mind which to use."", 'on being advised to hurry up the student replied as follows:\n\n\n\n""firstly, you could take the barometer up to the roof of the skyscraper, drop it over the edge, and measure the time it takes to reach the ground.', 'the height of the building can then be worked out from the formula h = 0.5g x t squared.', 'but bad luck on the barometer.""', '""or if the sun is shining you could measure the height of the barometer, then set it on end and measure the length of its shadow.', 'then you measure the length of the skyscraper\'s shadow, and thereafter it is a simple matter of proportional arithmetic to work out the height of the skyscraper.""', '""but if you wanted to be highly scientific about it, you could tie a short piece of string to the barometer and swing it like a pendulum, first at ground level and then on the roof of the skyscraper.', 'the height is worked out by the difference in the gravitational restoring force t = 2 pi sqrroot (l / g).""', '""or if the skyscraper has an outside emergency staircase, it would be easier to walk up it and mark off the height of the skyscraper in barometer lengths, then add them up.""', '""if you merely wanted to be boring and orthodox about it, of course, you could use the barometer to measure the air pressure on the roof of the skyscraper and on the ground, and convert the difference in millibars into feet to give the height of the building.""', '""but since we are constantly being exhorted to exercise independence of mind and apply scientific methods, undoubtedly the best way would be to knock on the janitor\'s door and say to him \'if you would like a nice new barometer, i will give you this one if you tell me the height of this skyscraper\'.""', 'the student was niels bohr, the only dane to win the nobel prize for physics.']"
"08,June,2000","


     

      the more i work at the student publications building, the closer i come to having this be my future:  urllink who wants to marry a sysadmin?   if you are not into at least one flavor of unix, this will make no sense.

     

    
","['\n\n\n     \n\n      the more i work at the student publications building, the closer i come to having this be my future:  urllink who wants to marry a sysadmin?', 'if you are not into at least one flavor of unix, this will make no sense.']"
"07,June,2000","


     

       urllink psone, the portable sony playstation .  even though they say that you must plug the system into a regular electrical outlet, you know someone is going to make a fat battery pack.  maybe even a base that will fit just underneath the psone.

     

    
","['\n\n\n     \n\n       urllink psone, the portable sony playstation .', 'even though they say that you must plug the system into a regular electrical outlet, you know someone is going to make a fat battery pack.', 'maybe even a base that will fit just underneath the psone.']"
