dates,posts,sentence_tokenize,word_tokenize
"02,August,2004","

	 
       urllink information awareness office: how's this for paranoid?  in iao's total information awareness system the goal is to detect, id, classify and track potential anti-government targets through multi-agency ops. the program is an ongoing research project designed to acquire data through advanced technological applications for surveillance.    urllink   
     
    
","[""\n\n\t \n       urllink information awareness office: how's this for paranoid?"", ""in iao's total information awareness system the goal is to detect, id, classify and track potential anti-government targets through multi-agency ops."", 'the program is an ongoing research project designed to acquire data through advanced technological applications for surveillance.', 'urllink']",['urllink']
"02,August,2004","

	 
       urllink report tips informants  mark the informant. in a subtle way, place the mark of the all-seeing eye on their home, vehicle or person...
     
    
","['\n\n\t \n       urllink report tips informants  mark the informant.', 'in a subtle way, place the mark of the all-seeing eye on their home, vehicle or person...']","['in', 'a', 'subtle', 'way', ',', 'place', 'the', 'mark', 'of', 'the', 'all-seeing', 'eye', 'on', 'their', 'home', ',', 'vehicle', 'or', 'person', '...']"
"02,August,2004","

	 
       urllink volunteer snoops coming to an isp near you?  congress has been working on legislation to create a militia composed of 'technology experts' who will manage the telecommunications infrastructure in times of national emergency... we have to wonder if the agency about to be created might find ways of exerting pressure on volunteers to 'keep an eye on things'.
     
    
","['\n\n\t \n       urllink volunteer snoops coming to an isp near you?', ""congress has been working on legislation to create a militia composed of 'technology experts' who will manage the telecommunications infrastructure in times of national emergency... we have to wonder if the agency about to be created might find ways of exerting pressure on volunteers to 'keep an eye on things'.""]","['congress', 'has', 'been', 'working', 'on', 'legislation', 'to', 'create', 'a', 'militia', 'composed', 'of', ""'technology"", 'experts', ""'"", 'who', 'will', 'manage', 'the', 'telecommunications', 'infrastructure', 'in', 'times', 'of', 'national', 'emergency', '...', 'we', 'have', 'to', 'wonder', 'if', 'the', 'agency', 'about', 'to', 'be', 'created', 'might', 'find', 'ways', 'of', 'exerting', 'pressure', 'on', 'volunteers', 'to', ""'keep"", 'an', 'eye', 'on', 'things', ""'"", '.']"
"02,August,2004","

	 
       urllink fema preparing for mass destruction  ...the federal agency charged with disaster preparedness, is engaged in a crash effort to prepare for multiple mass destruction attacks on u.s. cities - including the creation of sprawling temporary cities to handle millions of displaced persons.  ominously, fema has been given a deadline of having the cities ready to go by january 2003 – in about six months.   a source familiar with the deadline believes the effort is related to making the u.s. prepared for counterattacks if the u.s. invades iraq sometime next year.
     
    
","['\n\n\t \n       urllink fema preparing for mass destruction  ...the federal agency charged with disaster preparedness, is engaged in a crash effort to prepare for multiple mass destruction attacks on u.s. cities - including the creation of sprawling temporary cities to handle millions of displaced persons.', 'ominously, fema has been given a deadline of having the cities ready to go by january 2003 – in about six months.', 'a source familiar with the deadline believes the effort is related to making the u.s. prepared for counterattacks if the u.s. invades iraq sometime next year.']","['a', 'source', 'familiar', 'with', 'the', 'deadline', 'believes', 'the', 'effort', 'is', 'related', 'to', 'making', 'the', 'u.s.', 'prepared', 'for', 'counterattacks', 'if', 'the', 'u.s.', 'invades', 'iraq', 'sometime', 'next', 'year', '.']"
"02,August,2004","

	 
       urllink operation rats  ...a nationwide program giving millions of american bigots, paranoiacs, nosy neighbors, snoops, snobs, and others a formal way to report innocent actions by others that offend them.  ...a national ego-validation system that allows these workers, whose projected self-loathing make them well-positioned to judge the actions of others, to report whatever isn't done the way they would like it to be.
     
    
","['\n\n\t \n       urllink operation rats  ...a nationwide program giving millions of american bigots, paranoiacs, nosy neighbors, snoops, snobs, and others a formal way to report innocent actions by others that offend them.', ""...a national ego-validation system that allows these workers, whose projected self-loathing make them well-positioned to judge the actions of others, to report whatever isn't done the way they would like it to be.""]","['...', 'a', 'national', 'ego-validation', 'system', 'that', 'allows', 'these', 'workers', ',', 'whose', 'projected', 'self-loathing', 'make', 'them', 'well-positioned', 'to', 'judge', 'the', 'actions', 'of', 'others', ',', 'to', 'report', 'whatever', 'is', ""n't"", 'done', 'the', 'way', 'they', 'would', 'like', 'it', 'to', 'be', '.']"
"02,August,2004","

	 
       urllink r.u. sirius unplugged  we’re just talking. we have this vast information matrix through which we can sort of form these temporary autonomous zones for our mental activities, but i don’t see how it is going to extend beyond that. we can get people out to protest or whatever, and that has a certain amount of effect. but in terms of livingry, in terms of people going into a space together and changing the way we live and consume energy -- i’m not saying that can’t happen, i’m just saying that i can’t see how we’re getting there right now.  via klint finley,  urllink technoccult 
     
    
","['\n\n\t \n       urllink r.u.', 'sirius unplugged  we’re just talking.', 'we have this vast information matrix through which we can sort of form these temporary autonomous zones for our mental activities, but i don’t see how it is going to extend beyond that.', 'we can get people out to protest or whatever, and that has a certain amount of effect.', 'but in terms of livingry, in terms of people going into a space together and changing the way we live and consume energy -- i’m not saying that can’t happen, i’m just saying that i can’t see how we’re getting there right now.', 'via klint finley,  urllink technoccult']","['via', 'klint', 'finley', ',', 'urllink', 'technoccult']"
"02,August,2004","

	 
       urllink us planning to recruit americans as citizen spies  the bush administration aims to recruit millions of united states citizens as domestic informants in a program likely to alarm civil liberties groups.  so don't delay, contact your local fbi or fema representative today! be the first on your block to join the  urllink snitch bitches !  and remember,  urllink 'the innocent have nothing to hide' ...
     
    
","['\n\n\t \n       urllink us planning to recruit americans as citizen spies  the bush administration aims to recruit millions of united states citizens as domestic informants in a program likely to alarm civil liberties groups.', ""so don't delay, contact your local fbi or fema representative today!"", 'be the first on your block to join the  urllink snitch bitches !', ""and remember,  urllink 'the innocent have nothing to hide' ...""]","['and', 'remember', ',', 'urllink', ""'the"", 'innocent', 'have', 'nothing', 'to', 'hide', ""'"", '...']"
"02,August,2004","

	 
      two hundred years from now, how will historians assess the early twenty-first century? they won't, because scarcely anything will be left to assess. that's right: welcome, my friends, to  urllink the digital dark age .
     
    
","['\n\n\t \n      two hundred years from now, how will historians assess the early twenty-first century?', ""they won't, because scarcely anything will be left to assess."", ""that's right: welcome, my friends, to  urllink the digital dark age .""]","['that', ""'s"", 'right', ':', 'welcome', ',', 'my', 'friends', ',', 'to', 'urllink', 'the', 'digital', 'dark', 'age', '.']"
"02,August,2004","

	 
       urllink palestine plans ""giant suicide bomb""  ""just you wait. the israelis won't know what's hit them. we'll lure them all in here - you know promise them a big party or something. then the entire palestinian population will detonate themselves in a single ginormous explosion. this will guarantee the immediate destruction of israel and creation of a palestinian homeland - although there won't be anyone left to live in it... the plan is an absolute doozy. we can't fail.""  via  urllink everlasting blort 
     
    
","['\n\n\t \n       urllink palestine plans ""giant suicide bomb""  ""just you wait.', ""the israelis won't know what's hit them."", ""we'll lure them all in here - you know promise them a big party or something."", 'then the entire palestinian population will detonate themselves in a single ginormous explosion.', ""this will guarantee the immediate destruction of israel and creation of a palestinian homeland - although there won't be anyone left to live in it... the plan is an absolute doozy."", 'we can\'t fail.""', 'via  urllink everlasting blort']","['via', 'urllink', 'everlasting', 'blort']"
"02,August,2004","

	 
       urllink earth 'will expire by 2050'  a study by the world wildlife fund, warns that the human race is plundering the planet at a pace that outstrips its capacity to support life.   in a damning condemnation of western society's high consumption levels, it adds that the extra planets (the equivalent size of earth) will be required by the year 2050 as existing resources are exhausted.
     
    
","[""\n\n\t \n       urllink earth 'will expire by 2050'  a study by the world wildlife fund, warns that the human race is plundering the planet at a pace that outstrips its capacity to support life."", ""in a damning condemnation of western society's high consumption levels, it adds that the extra planets (the equivalent size of earth) will be required by the year 2050 as existing resources are exhausted.""]","['in', 'a', 'damning', 'condemnation', 'of', 'western', 'society', ""'s"", 'high', 'consumption', 'levels', ',', 'it', 'adds', 'that', 'the', 'extra', 'planets', '(', 'the', 'equivalent', 'size', 'of', 'earth', ')', 'will', 'be', 'required', 'by', 'the', 'year', '2050', 'as', 'existing', 'resources', 'are', 'exhausted', '.']"
